lambda,dipolpol
0.742599984,4.47934418
0.743549984,4.479211208
0.744499984,4.479079943
0.745449984,4.478950422
0.746399984,4.478822682
0.747349984,4.478696759
0.748299984,4.478572688
0.749249984,4.478450504
0.750199984,4.478330238
0.751149984,4.478211925
0.752099984,4.478095594
0.753049984,4.477981278
0.753999984,4.477869005
0.754949984,4.477758806
0.755899984,4.477650707
0.756849984,4.477544736
0.757799984,4.47744092
0.758749984,4.477339285
0.759699984,4.477239854
0.760649984,4.477142653
0.761599984,4.477047704
0.762549984,4.47695503
0.763499984,4.476864653
0.764449984,4.476776593
0.765399984,4.47669087
0.766349984,4.476607505
0.767299984,4.476526515
0.768249984,4.476447918
0.769199984,4.476371731
0.770149984,4.476297971
0.771099984,4.476226654
0.772049984,4.476157793
0.772999984,4.476091404
0.773949984,4.476027499
0.774899984,4.475966092
0.775849984,4.475907194
0.776799984,4.475850817
0.777749984,4.475796971
0.778699984,4.475745666
0.779649984,4.475696912
0.780599984,4.475650716
0.781549984,4.475607088
0.782499984,4.475566033
0.783449984,4.47552756
0.784399984,4.475491673
0.785349984,4.475458378
0.786299984,4.475427679
0.787249984,4.475399581
0.788199984,4.475374087
0.789149984,4.4753512
0.790099984,4.475330922
0.791049984,4.475313254
0.791999984,4.475298198
0.792949984,4.475285753
0.793899984,4.47527592
0.794849984,4.475268698
0.795799984,4.475264085
0.796749984,4.47526208
0.797699984,4.475262679
0.798649984,4.47526588
0.799599984,4.475271679
0.800549984,4.475280073
0.801499984,4.475291055
0.802449984,4.475304621
0.803399984,4.475320766
0.804349984,4.475339482
0.805299984,4.475360763
0.806249984,4.475384602
0.807199984,4.475410991
0.808149984,4.475439921
0.809099984,4.475471383
0.810049984,4.475505369
0.810999984,4.475541868
0.811949984,4.47558087
0.812899984,4.475622364
0.813849984,4.475666339
0.814799984,4.475712784
0.815749983,4.475761685
0.816699983,4.475813031
0.817649983,4.475866808
0.818599983,4.475923003
0.819549983,4.475981602
0.820499983,4.476042591
